_id	month	neighborhood_municipality	bivalent_booster
160303	2022-09-01	Aleppo	45
160304	2022-11-01	Aleppo	101
160305	2023-01-01	Aleppo	17
160306	2023-04-01	Aleppo	2
160307	2023-06-01	Aleppo	1
160308	2023-08-01	Aleppo	4
160309	2023-10-01	Aleppo	1
160310	2022-10-01	Allegheny Center (Pittsburgh)	80
160311	2022-12-01	Allegheny Center (Pittsburgh)	38
160312	2023-03-01	Allegheny Center (Pittsburgh)	6
160313	2023-05-01	Allegheny Center (Pittsburgh)	3
160314	2023-07-01	Allegheny Center (Pittsburgh)	2
160315	2023-02-01	Allegheny West (Pittsburgh)	3
160316	2023-09-01	Allegheny West (Pittsburgh)	1
160317	2023-02-01	Arlington (Pittsburgh)	8
160318	2023-09-01	Arlington (Pittsburgh)	1
160319	2022-10-01	Arlington Heights (Pittsburgh)	5
160320	2022-12-01	Arlington Heights (Pittsburgh)	2
160321	2023-03-01	Arlington Heights (Pittsburgh)	1
160322	2023-05-01	Arlington Heights (Pittsburgh)	1
160323	2022-09-01	Aspinwall	95
160324	2022-11-01	Aspinwall	299
160325	2023-01-01	Aspinwall	55
160326	2023-04-01	Aspinwall	8
160327	2023-06-01	Aspinwall	5
160328	2023-08-01	Aspinwall	7
160329	2023-10-01	Aspinwall	3
160330	2022-09-01	Avalon	48
160331	2022-11-01	Avalon	294
160332	2023-01-01	Avalon	46
160333	2023-04-01	Avalon	12
160334	2023-06-01	Avalon	5
160335	2023-08-01	Avalon	7
160336	2023-10-01	Avalon	1
160337	2023-09-01	Baldwin Borough	7
160338	2023-02-01	Baldwin Township	10
160339	2022-11-01	Banksville (Pittsburgh)	224
160340	2023-01-01	Banksville (Pittsburgh)	58
160341	2023-04-01	Banksville (Pittsburgh)	14
160342	2023-06-01	Banksville (Pittsburgh)	2
160343	2023-08-01	Banksville (Pittsburgh)	2
160344	2023-10-01	Banksville (Pittsburgh)	2
160345	2023-02-01	Bedford Dwellings (Pittsburgh)	8
160346	2023-09-01	Bedford Dwellings (Pittsburgh)	1
160347	2023-01-01	Bell Acres	24
160348	2023-04-01	Bell Acres	1
160349	2023-06-01	Bell Acres	1
160350	2023-08-01	Bell Acres	4
160351	2023-10-01	Bell Acres	1
160352	2022-09-01	Beltzhoover (Pittsburgh)	6
160353	2022-10-01	Ben Avon	133
160354	2022-12-01	Ben Avon	82
160355	2023-03-01	Ben Avon	11
160356	2023-05-01	Ben Avon	8
160357	2023-07-01	Ben Avon	3
160358	2022-09-01	Ben Avon Heights	12
160359	2022-11-01	Ben Avon Heights	37
160360	2023-01-01	Ben Avon Heights	10
160361	2023-04-01	Ben Avon Heights	3
160362	2023-06-01	Ben Avon Heights	1
160363	2022-09-01	Bethel Park	634
160364	2023-02-01	Blawnox	12
160365	2022-09-01	Bluff (Pittsburgh)	15
160366	2022-11-01	Bluff (Pittsburgh)	43
160367	2023-01-01	Bluff (Pittsburgh)	16
160368	2023-04-01	Bluff (Pittsburgh)	8
160369	2022-09-01	Bon Air (Pittsburgh)	5
160370	2022-11-01	Bon Air (Pittsburgh)	37
160371	2023-01-01	Bon Air (Pittsburgh)	10
160372	2023-04-01	Bon Air (Pittsburgh)	2
160373	2022-09-01	Brackenridge	19
160374	2022-11-01	Brackenridge	143
160375	2023-01-01	Brackenridge	35
160376	2023-04-01	Brackenridge	7
160377	2023-06-01	Brackenridge	6
160378	2023-08-01	Brackenridge	1
160379	2022-10-01	Braddock	44
160380	2022-12-01	Braddock	33
160381	2023-03-01	Braddock	6
160382	2023-05-01	Braddock	8
160383	2023-07-01	Braddock	4
160384	2022-09-01	Braddock Hills	19
160385	2022-11-01	Braddock Hills	122
160386	2023-01-01	Braddock Hills	26
160387	2023-04-01	Braddock Hills	4
160388	2023-06-01	Braddock Hills	1
160389	2023-08-01	Braddock Hills	2
160390	2023-02-01	Bradford Woods	4
160391	2023-09-01	Bradford Woods	2
160392	2023-10-01	Brentwood	2
160393	2022-10-01	Bridgeville	309
160394	2022-12-01	Bridgeville	111
160395	2023-03-01	Bridgeville	12
160396	2023-05-01	Bridgeville	3
160397	2023-07-01	Bridgeville	3
160398	2022-09-01	Brighton Heights (Pittsburgh)	76
160399	2022-11-01	Brighton Heights (Pittsburgh)	408
160400	2023-01-01	Brighton Heights (Pittsburgh)	104
160401	2023-04-01	Brighton Heights (Pittsburgh)	26
160402	2023-06-01	Brighton Heights (Pittsburgh)	10
160403	2023-10-01	Brighton Heights (Pittsburgh)	1
160404	2022-11-01	Brookline (Pittsburgh)	751
160405	2023-01-01	Brookline (Pittsburgh)	201
160406	2023-04-01	Brookline (Pittsburgh)	35
160407	2023-06-01	Brookline (Pittsburgh)	9
160408	2023-08-01	Brookline (Pittsburgh)	14
160409	2023-10-01	Brookline (Pittsburgh)	3
160410	2022-09-01	Carnegie	88
160411	2022-11-01	Carnegie	406
160412	2023-01-01	Carnegie	82
160413	2023-04-01	Carnegie	20
160414	2023-06-01	Carnegie	6
160415	2023-08-01	Carnegie	10
160416	2023-10-01	Carnegie	1
160417	2022-09-01	Carrick (Pittsburgh)	104
160418	2022-11-01	Carrick (Pittsburgh)	389
160419	2023-01-01	Carrick (Pittsburgh)	102
160420	2023-04-01	Carrick (Pittsburgh)	30
160421	2023-06-01	Carrick (Pittsburgh)	16
160422	2023-08-01	Carrick (Pittsburgh)	16
160423	2023-10-01	Carrick (Pittsburgh)	1
160424	2023-07-01	Castle Shannon	6
160425	2023-02-01	Central Business District (Pittsburgh)	44
160426	2023-09-01	Central Business District (Pittsburgh)	4
160427	2023-02-01	Central Lawrenceville (Pittsburgh)	54
160428	2023-09-01	Central Lawrenceville (Pittsburgh)	7
160429	2022-09-01	Central Northside (Pittsburgh)	74
160430	2022-11-01	Central Northside (Pittsburgh)	221
160431	2023-01-01	Central Northside (Pittsburgh)	51
160432	2023-04-01	Central Northside (Pittsburgh)	10
160433	2023-06-01	Central Northside (Pittsburgh)	4
160434	2023-08-01	Central Northside (Pittsburgh)	4
160435	2022-09-01	Central Oakland (Pittsburgh)	58
160436	2022-11-01	Central Oakland (Pittsburgh)	111
160437	2023-01-01	Central Oakland (Pittsburgh)	25
